Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,153.21,986.37,208.17,33.03,15.87,15.87,59.42,8.87,1.49,8.18,0.58,17.30,140.20,1.11,1.25
AGI Infra,539042,AGIIL,Realty,987.95,2405.02,324.87,92.54,28.49,28.49,36.07,8.19,1.04,5.86,0.47,25.66,144.14,12.58,1.28
Apollo Micro Sys,540879,APOLLO,Aerospace & Defense,214.00,6543.74,562.07,129.21,22.99,22.99,114.32,10.78,3.52,5.16,0.49,10.15,674.13,4.05,0.23
Aryaman Capital,538716,,Finance,331.00,396.45,74.59,27.89,37.39,37.39,17.29,5.12,0.09,22.15,0.36,38.69,62.22,2.75,0.00
Aryaman Fin.Serv,530245,,Finance,613.85,717.10,112.87,52.67,46.66,46.66,22.72,5.57,0.22,23.47,0.22,31.30,116.80,5.23,0.59
ASM Technologies,526433,,IT - Software,2605.75,3067.56,288.81,47.20,16.34,16.34,121.49,18.58,0.71,9.62,0.52,16.47,149.13,8.55,3.49
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,145.55,152.99,80.16,11.95,14.91,14.91,40.15,,,5.25,3.54,37.84,28.86,0.10,3.61
Avishkar Infra,508929,,Realty,70.25,157.38,2.40,1.87,77.92,77.92,46.56,10.91,1.09,21.07,0.15,150.22,15.61,2.20,0.00
AXISCADES Tech.,532395,AXISCADES,Aerospace & Defense,1414.60,5999.53,1030.72,142.42,13.82,13.82,77.11,9.26,3.64,6.91,0.39,12.61,449.36,16.99,4.35
Bio Green Papers,534535,,"Paper, Forest & Jute Products",180.00,2095.78,407.36,41.24,10.12,10.12,59.45,21.60,0.48,25.16,0.00,25.97,22.08,0.86,0.00
Commerl. Synbags,539986,COMSYN,Industrial Products,136.73,547.17,347.82,35.56,10.22,10.22,31.96,3.64,3.70,5.90,0.76,12.28,131.04,4.03,0.18
CSB Bank,542867,CSBBANK,Banks,385.10,6694.70,3597.14,1948.44,54.17,54.17,11.27,1.49,0.10,1.42,9.43,14.31,0.00,972.06,4.49
DCB Bank,532772,DCBBANK,Banks,144.21,4533.33,6470.59,4442.12,68.65,68.65,7.37,0.80,0.58,0.88,12.16,11.44,0.00,750.51,4.36
Espire Hospi,532016,,Leisure Services,556.55,830.52,119.55,22.48,18.80,18.80,100.43,19.09,0.70,6.59,2.54,35.33,49.42,0.61,0.23
Fabtech Techn.,544332,,Industrial Manufacturing,354.95,437.28,150.03,16.04,10.69,10.69,32.88,4.63,1.21,12.51,0.01,18.21,81.83,0.87,1.40
Fluidomat,522017,,Industrial Manufacturing,1212.95,597.98,72.18,27.28,37.79,37.79,26.91,7.43,0.57,27.08,0.00,31.44,39.08,3.46,2.09
Foce India,,FOCE,Consumer Durables,1840.00,900.30,104.25,18.35,17.60,17.60,62.52,11.42,,11.08,0.38,20.11,36.19,0.39,0.00
GHV Infra,505504,,Construction,914.55,1318.32,184.88,24.93,13.48,13.48,76.87,30.96,,15.49,0.73,82.12,15.11,0.00,0.00
Harshdeep,544105,,Agricultural Food & other Products,85.00,136.80,56.27,14.81,26.32,26.32,14.10,2.88,,19.46,0.00,22.95,33.55,0.15,1.16
HEC Infra Proj.,,HECPROJECT,,167.53,181.57,112.10,13.95,12.44,12.44,19.65,3.42,0.26,9.98,0.71,21.00,53.22,1.05,1.88
Indosolar,533257,WAAREEINDO,Electrical Equipment,191.07,794.96,323.91,95.05,29.34,29.34,14.51,19.67,0.27,28.03,1.24,420.74,-14.88,0.84,0.00
Jindal Photo,532624,JINDALPHOT,Finance,1012.45,1038.61,2.46,2.06,83.74,83.74,4.60,1.08,0.03,13.36,0.06,13.99,32.71,228.68,2.00
Kolte Patil Dev.,532924,KOLTEPATIL,Realty,465.15,3551.53,1717.38,175.88,10.24,10.24,33.33,4.26,4.14,2.13,1.37,13.63,1233.68,51.47,2.14
Krishana Phosch.,,KRISHANA,Fertilizers & Agrochemicals,527.70,3195.36,1358.24,183.96,13.54,13.54,36.92,8.33,0.83,9.20,0.98,25.29,425.26,9.93,0.81
Krishival Foods,544416,KRISHIVAL,Food Products,414.40,923.91,202.23,21.17,10.47,10.47,68.24,6.84,0.87,8.81,0.09,10.54,89.81,4.07,4.85
Lumax Auto Tech.,532796,LUMAXTECH,Auto Components,1117.55,7624.03,3636.67,464.76,12.78,12.78,42.89,8.15,1.71,7.85,0.97,20.62,626.58,51.03,3.51
